epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.9867,2.06499,4.29189,1.73175,0.00103,0.02542,0.00079,0.00026,2.79633,inf,3.04212,0.0865,0.0015,0.0015
2,32.2222,1.91909,2.25714,1.67668,0,0,0,0,nan,nan,nan,0.0720877,0.00308772,0.00308772
3,48.2921,1.82364,1.87944,1.62234,0,0,0,0,nan,nan,nan,0.0576628,0.00466278,0.00466278
4,61.2157,1.81237,1.78694,1.62855,0,0,0,0,nan,nan,nan,0.0432252,0.00622516,0.00622516
